name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info,full_address,location,latitude,longitude,GEOID,STATE,COUNTY,TRACT,BLOCK
Interborough Developmental and,Consultation Center/Canarsie Csl Ctr,9413 Flatlands Avenue,Suite 001-E,Brooklyn,NY,11236,718-272-1600 x111,,,,,MH SUMH * OP * CMHC * CHLOR DROPE HALOP LOXAP ARIPI CLOZA OLANZ RISPE ANTPYCH * CBT CFT DBT IDD IPT TELE * PEON WI * PVTN * MC MD PI SF SI SMHA SWFS * PA SS * TAY SE GL VET CO TRMA PTSD SED SMI * STU * SMPD * CHLD YAD ADLT SNR * SP FX * F4 F19 F28 F35 F36 F70 * VAPN * COOT FPSY SPS,"9413 Flatlands Avenue, Brooklyn, NY 11236","9413, Flatlands Avenue, Canarsie, Brooklyn, Kings County, City of New York, New York, 11236, United States",40.6422949,-73.9029488,360470968002004,36,047,096800,2004
Interborough Developmental and,Consultation Ctr/Crown Heights Clinic,921 East New York Avenue,,Brooklyn,NY,11203,718-778-0485,,,,,SA MH SUMH * OP * OMH * CHLOR HALOP THIOR ANTPYCH * CBT CFT DBT GT IDD IPT * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA PED PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F4 F17 F19 F25 F28 F35 F36 F70 * VAPN * COOT DEC FPSY PRS CM SPS,"921 East New York Avenue, Brooklyn, NY 11203","921, East New York Avenue, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6627033,-73.9337216,360470880011000,36,047,088001,1000
Interborough Developmental and,Consultation Ctr/Williamsburg Clinic,790 Broadway,Floor 1,Brooklyn,NY,11206,718-388-5176,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IPT TELE * WI * PVTN * FQHC * FG MC MD PI SF SI * TAY SE CJ TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F28 F36 F42 F70 * VAPN * AOT COOT FPSY CM SPS,"790 Broadway, Brooklyn, NY 11206","790, Broadway, Brooklyn, Kings County, City of New York, New York, 11206, United States",40.6996738,-73.9408006,360470285011002,36,047,028501,1002
Jewish Board of Family/Childrens Servs,Seymour Askin Counseling Center,2020 Coney Island Avenue,,Brooklyn,NY,11223,718-676-4280,844-663-2255,,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ ARIPI CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD MI PI SCJJ SF SI SMHA SWFS VAF * PA SS * CO TRMA PTSD SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F19 F35 F70 * VPPD * COOT DEC FPSY PRS CM SPS,"2020 Coney Island Avenue, Brooklyn, NY 11223","2020, Coney Island Avenue, Midwood, Brooklyn, Kings County, City of New York, New York, 11223, United States",40.6080455,-73.9623706,360470420002000,36,047,042000,2000
Kingsboro Psychiatric Center,,681 Clarkson Avenue,"Building 19, Room 102",Brooklyn,NY,11203,718-221-7900,718-257-7780,,,,MH SUMH * OP * OMH * FLUPH HALOP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IPT AIM * STG * FQHC * MC MD PI SCJJ SI SMHA SWFS * PA * SE VET CJ CO PEFP PTSD SMI * STU * SMOP * YAD ADLT SNR * VAPP,"681 Clarkson Avenue, Brooklyn, NY 11203","Kingsboro Psychiatric Center, 681, Clarkson Avenue, East Flatbush, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6572546,-73.934466,360470808001000,36,047,080800,1000
Kingsboro Psychiatric Center,Canarsie Mental Health Clinic,9801 Foster Avenue,,Brooklyn,NY,11236,718-257-7780,,,,,MH SUMH * OP * OMH * FLUPH HALOP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT GT IPT AIM * STG * MC MD PI SCJJ SI SMHA SWFS * PA * SE VET CJ CO PEFP PTSD SMI * STU * LABT * PEER * SMOP * YAD ADLT SNR * VAPP * AOT COOT ICM PRS VRS CM SPS,"9801 Foster Avenue, Brooklyn, NY 11236","9801, Foster Avenue, Canarsie, Brooklyn, Kings County, City of New York, New York, 11236, United States",40.6491821,-73.9048366,360471098002004,36,047,109800,2004
League School,,567 Kingston Avenue,,Brooklyn,NY,11203,718-498-2500,718-498-2500 x152,718-498-2500 x130,,,MH * OP PHDT * PH * AT GT IPT TELE * PEON * PVTN * MD PI SEF SMHA * PA * SED * STU * TCC * SMON * CHLD YAD * SP FX * F4 F19 F28 F35 * VAPN * FPSY CM SPS ES,"567 Kingston Avenue, Brooklyn, NY 11203","567, Kingston Avenue, Flatbush, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6595809,-73.9422961,360470808001002,36,047,080800,1002
Nao Medical,,308 Graham Avenue,,Brooklyn,NY,11211,917-970-2493,,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT IDD IPT KIT TELE * PEOFF * PVTP * MC MD PI SF SI * TAY SE GL VET ADM MF CO HV DV TRMA ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F36 * VAPN * AOT CDM DEC IMR IPC,"308 Graham Avenue, Brooklyn, NY 11211","308, Graham Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11211, United States",40.7129853,-73.9439764,360470495002001,36,047,049500,2001
New York City Childrens Center,Brooklyn Campus,1819 Bergen Street,,Brooklyn,NY,11233,718-613-3100,718-264-4934,718-613-3055,,,SA MH SUMH * PHDT * PH * NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * STG * MD PI SI SMHA * GL CO TRMA PTSD SED * STU * MST LABT * PEER * TCC * SMON * CHLD YAD * AH * VAPN * AOT COOT DEC FPSY ICM PRS CM SPS ES,"1819 Bergen Street, Brooklyn, NY 11233","New York City Children's Center - Brooklyn Campus, 1819, Bergen Street, Brooklyn, Kings County, City of New York, New York, 11233, United States",40.6745517,-73.9205442,360470303002003,36,047,030300,2003
New York City Childrens Center,Brooklyn Childrens Behav Health Clinic,1819 Bergen Street,,Brooklyn,NY,11233,718-613-3100,718-264-4697,,,,SA MH * OP * OMH * NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * STG * MD PI SI SMHA * CO TRMA PTSD SED * STU * MST LABT * PEER * TCC * SMON * CHLD YAD * AH * VAPN * AOT COOT DEC FPSY PRS VRS CM SPS ES,"1819 Bergen Street, Brooklyn, NY 11233","New York City Children's Center - Brooklyn Campus, 1819, Bergen Street, Brooklyn, Kings County, City of New York, New York, 11233, United States",40.6745517,-73.9205442,360470303002003,36,047,030300,2003
New York Psychotherapy Counseling Ctr,Bushwick Child/Family MH Center,102 Pilling Street,,Brooklyn,NY,11207,718-553-1100,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE * PVTN * MC MD SI * TAY SE GL CO TRMA PTSD SED SMI * STU * MST LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F28 F36 F47 * VPPD * AOT COOT FPSY CM SPS,"102 Pilling Street, Brooklyn, NY 11207","102, Pilling Street, Bushwick, Brooklyn, Kings County, City of New York, New York, 11207, United States",40.6848134,-73.9063895,360470403001003,36,047,040300,1003
New York Psychotherapy Counseling Ctr,East NY Child Family MH Center,2857 Linden Boulevard,,Brooklyn,NY,11208,718-235-3100,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE AIM * PVTN * MHC * MC MD SI * TAY SE GL CO DV TRMA PTSD SED SMI * STU * MST LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F19 F28 * VPPD * AOT COOT FPSY CM SPS,"2857 Linden Boulevard, Brooklyn, NY 11208","2857, Linden Boulevard, Brooklyn, Kings County, City of New York, New York, 11208, United States",40.6698265,-73.8584844,360471220001002,36,047,122000,1002
NYC Health and Hospital/Kings,KCHC/BH/Adult Inpatient Services,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2751,,718-245-2310,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD PI SF SI * PA SS * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203","Kings County Hospital Center, 451, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6564684,-73.9436745,360470808001001,36,047,080800,1001
NYC Health and Hospital/Kings,KCHC/BH/Adult Outpatient Services,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2704,718-245-2727,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA PALIP RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD PI SF SI * PA SS * TAY PEFP SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F4 F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203","Kings County Hospital Center, 451, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6564684,-73.9436745,360470808001001,36,047,080800,1001
NYC/HHC Kings County Hospital Center,KCHC Child/Adolescent Psych IP Servs,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2751,,,,,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MD PI SF SI SWFS * PA SS * SED * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * CHLD YAD * AH SP FX * F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203","Kings County Hospital Center, 451, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6564684,-73.9436745,360470808001001,36,047,080800,1001
NYC/HHC Kings County Hospital Center,Kings County Hospital CPEP,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2310,,,,,SA MH SUMH * HI OP * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * MC MD PI SF SI * PA SS * TAY SE CO SED SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203","Kings County Hospital Center, 451, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6564684,-73.9436745,360470808001001,36,047,080800,1001
NYC H/H Kings County Hospital Center,Partial Hospitalization Program KCHC,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-4956,,,,,SA MH SUMH * OP PHDT * PH * FLUPH HALOP ARIPI CLOZA PALIP RISPE NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD PI SF SI * PA SS * SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F19 * VAPN * AOT COOT FPSY CM SPS,"451 Clarkson Avenue, Brooklyn, NY 11203","Kings County Hospital Center, 451, Clarkson Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",40.6564684,-73.9436745,360470808001001,36,047,080800,1001
NYU Langone Hospital/Brooklyn,,150 55Th Street,Suite 2950,Brooklyn,NY,11220,718-630-7000,718-437-5210,718-630-7189,,,SA MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SF SI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * AH SP FX * F4 F17 F31 F35 F42 F66 F70 F81 * VAPN * CDM COOT DEC FPSY IMR PRS VRS CM IPC SPS,"150 55Th Street, Brooklyn, NY 11220","NYU Langone Hospital – Brooklyn, 150, 55th Street, Sunset Park, Brooklyn, Kings County, City of New York, New York, 11220, United States",40.6466732,-74.0209065,360470022001001,36,047,002200,1001
Ohel Kadimah Pros,,1268 East 14Th Street,,Brooklyn,NY,11230,718-686-3400,,,,,MH SUMH * PHDT * PH * THIOR CLOZA OLANZ OLANZF RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD SF * SE CO TRMA PTSD SMI * STU * HS PEER * TCC * SMOP * YAD ADLT SNR * VAPP * COOT DEC FPSY ICM IMR PRS SEMP VRS CM IPC SPS ES,"1268 East 14Th Street, Brooklyn, NY 11230","1268, East 14th Street, Midwood, Brooklyn, Kings County, City of New York, New York, 11230, United States",40.618541,-73.9611931,360470768001006,36,047,076800,1006
One Brooklyn Health System,Interfaith Medical Center,1545 Atlantic Avenue,Center for Mental Health,Brooklyn,NY,11213,718-613-4462 x3,718-613-4486,,,,SA MH SUMH * HI OP * OMH * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * MC MD MI PI SF SI * SS * TAY SE GL CO HV DV TRMA PEFP PTSD SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F19 F25 F28 * VAPN * CDM FPSY IPC SPS,"1545 Atlantic Avenue, Brooklyn, NY 11213","Interfaith Medical Center, 1545, Atlantic Avenue, Bedford-Stuyvesant, Brooklyn, Kings County, City of New York, New York, 11213, United States",40.6785782,-73.9374993,360470271001000,36,047,027100,1000
Pesach Tikvah Hope Development Inc,,4111 18Th Avenue,,Brooklyn,NY,11218,718-875-6900,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * PVTN * MD SF * TAY SE TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY,"4111 18Th Avenue, Brooklyn, NY 11218","4111, 18th Avenue, Parkville, Brooklyn, Kings County, City of New York, New York, 11230, United States",40.6317303,-73.9745205,360470480001001,36,047,048000,1001
Pesach Tikvah Hope Development Inc,,5309 18Th Avenue,4th Floor,Brooklyn,NY,11204,718-705-5190,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * PVTN * MD SF * TAY SE TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY,"5309 18Th Avenue, Brooklyn, NY 11204","5309, 18th Avenue, Borough Park, Brooklyn, Kings County, City of New York, New York, 11204, United States",40.6256428,-73.983255,360470472002002,36,047,047200,2002
Pesach Tikvah Hope Development Inc,,640 Broadway,,Brooklyn,NY,11206,718-875-6900,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * PVTN * MD SF * TAY SE TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY,"640 Broadway, Brooklyn, NY 11206","640, Broadway, Brooklyn, Kings County, City of New York, New York, 11206, United States",40.7017787,-73.9434982,360470491003004,36,047,049100,3004
Pesach Tikvah Hope Development Inc,Pesach Tikvah Family Services Center,365 Willoughby Avenue,3rd Floor,Brooklyn,NY,11205,718-875-6900 x1100,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * MD PI SF SI SMHA VAF * TAY SE TRMA PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F35 F70 * VAPN * COOT FPSY PRS VRS CM,"365 Willoughby Avenue, Brooklyn, NY 11205","365, Willoughby Avenue, Clinton Hill, Brooklyn, Kings County, City of New York, New York, 11205, United States",40.6930457,-73.9560924,360470235002000,36,047,023500,2000
Puerto Rican Family Institute Inc,Brooklyn Mental Health Clinic,- - -,,Brooklyn,NY,11206,718-963-4430,212-229-6972 x1972,,,,MH SUMH * OP * OMH * ARIPI CLOZA QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE * CIT * PVTN * MC MD PI SF SI * TRMA * STU * PEER * TCC * SMPD * CHLD YAD ADLT * SP * VAPN * CM,"- - -, Brooklyn, NY 11206","Brooklyn, Kings County, City of New York, New York, United States",40.6526006,-73.9497211,360470818003000,36,047,081800,3000
Services for the Underserved,Wellness Works Clinic,1125 Fulton Street,2nd Floor,Brooklyn,NY,11238,347-226-9025,,877-583-5336,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * MC MD PI SF SI SMHA SWFS * CO PEFP SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F70 * VAPN * AOT DEC FPSY PRS SEMP VRS CM SPS,"1125 Fulton Street, Brooklyn, NY 11238","1125, Fulton Street, Clinton Hill, Brooklyn, Kings County, City of New York, New York, 11238, United States",40.6815814,-73.9566742,360470227003002,36,047,022700,3002
South Beach Psychiatric Center,Bensonhurst OP Clinic,8620 18Th Avenue,,Brooklyn,NY,11214,718-256-8818,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * STG * MC MD PI SF SI SMHA * SE CO TRMA SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F17 F19 * VAPN * AOT FPSY PRS VRS SPS,"8620 18Th Avenue, Brooklyn, NY 11214","8620, 18th Avenue, Bath Beach, Brooklyn, Kings County, City of New York, New York, 11214, United States",40.6069065,-74.0034327,360470178002001,36,047,017800,2001
South Beach Psychiatric Center,Coney Island/Sheepshead Bay Clinic,626 Sheepshead Bay Road,"3rd Floor, Room 300",Brooklyn,NY,11224,718-946-2600,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * STG * MC MD PI SF SI SMHA * TAY SE CO TRMA PEFP SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F70 * VAPN * AOT FPSY PRS VRS SPS,"626 Sheepshead Bay Road, Brooklyn, NY 11224","USPS Neptune Ave, 626, Sheepshead Bay Road, West Brighton, Brooklyn, Kings County, City of New York, New York, 11224, United States",40.5788115,-73.9751368,360470354002002,36,047,035400,2002
South Beach Psychiatric Center,Mapleton Outpatient Clinic,1083 Mcdonald Avenue,,Brooklyn,NY,11230,718-421-7444,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * STG * MC MD PI SF SI SMHA * SE CO TRMA SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F70 * VAPN * AOT FPSY PRS VRS SPS,"1083 Mcdonald Avenue, Brooklyn, NY 11230","1083, McDonald Avenue, Parkville, Brooklyn, Kings County, City of New York, New York, 11230, United States",40.6264059,-73.9761283,360470462012004,36,047,046201,2004
Spanish Spk Elderly Council/RAICES Inc,Raices Casa Bienestar,460 Atlantic Avenue,1st Floor,Brooklyn,NY,11217,718-222-1518 x213,718-222-1518,,,,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA LURAS OLANZ QUETI RISPE ANTPYCH * CBT DBT GT IDD IPT TELE * PVTN * MC MD PI SF * SS * SE GL CJ CO HV TRMA PEFP PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * SP FX * F28 * VAPN * CDM COOT DEC FPSY IMR CM IPC,"460 Atlantic Avenue, Brooklyn, NY 11217","460, Atlantic Avenue, Boerum Hill, Brooklyn, Kings County, City of New York, New York, 11217, United States",40.6859812,-73.9830589,360470041003000,36,047,004100,3000
VA NY Harbor Healthcare System,Brooklyn Campus,800 Poly Place,,Brooklyn,NY,11209,718-836-6600,718-836-6600 x3715,,,,SA MH SUMH * OP PHDT RES * VAHC * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * FED VAMC * MI PI SF VAF * SE GL VET ADM CO HV TBI ALZ * STU * MST LABT * HS PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT COOT DEC FPSY ICM LAD PRS SEMP SH CM IPC SPS ES,"800 Poly Place, Brooklyn, NY 11209","Advantage Federal Federal Credit Union, 800, Poly Place, Fort Hamilton, Brooklyn, Kings County, City of New York, New York, 11209, United States",40.6081672,-74.0241276,360470164001016,36,047,016400,1016
Willow Behavioral Health,Osier Health,1130 Bedford Avenue,Suite 1061,Brooklyn,NY,11216,646-814-1530,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON WI * PVTP * MHC * MC MD MI PI PCF SF SI * PA * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SMI * STU * HS PEER * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * ACT COOT FPSY ICM SEMP CM IPC SPS ES,"1130 Bedford Avenue, Brooklyn, NY 11216","I Mail & More, 1130, Bedford Avenue, Clinton Hill, Brooklyn, Kings County, City of New York, New York, 11216, United States",40.6858983,-73.9545849,360470229001001,36,047,022900,1001
Association to Benefit Children,Fast Break Echo Park,1841 Park Avenue,,New York,NY,10035,646-459-6165,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CMHG MD SF SI SMHA SWFS * TAY GL CJ DV TRMA PED PTSD SED * STU * PEER * TCC * SMON * CHLD YAD * AH SP FX * F4 F66 * VAPN * COOT FPSY CM SPS ES,"1841 Park Avenue, New York, NY 10035","1841, Park Avenue, Manhattan Community Board 11, Manhattan, New York County, City of New York, New York, 10035, United States",40.8057614,-73.9382133,360610242002002,36,061,024200,2002
Association to Benefit Children,Fast Break The Bronx,1366 Inwood Avenue,,New York,NY,10452,646-459-6165,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CMHG MD SF SI SMHA SWFS * TAY GL CJ DV TRMA PTSD SED * STU * PEER * TCC * SMON * CHLD YAD * AH SP FX * F66 * VAPN * COOT FPSY CM SPS ES,"1366 Inwood Avenue, New York, NY 10452","1366, Inwood Avenue, High Bridge, The Bronx, Bronx County, City of New York, New York, 10452, United States",40.8399802,-73.9192171,360050219001005,36,005,021900,1005
Bailey House Inc,Outpatient Clinic,1751 Park Avenue,3rd Floor,New York,NY,10035,718-277-0386,212-289-6008,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL VET CJ CO HV DV TRMA PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP * VAPN * FPSY CM IPC SPS,"1751 Park Avenue, New York, NY 10035","1751, Park Avenue, Manhattan Community Board 11, Manhattan, New York County, City of New York, New York, 10035, United States",40.802841,-73.9405327,360610196001001,36,061,019600,1001
Blanton Peale Counseling Center,Blanton Peale Institute,7 West 30Th Street,9th and 10th Floors,New York,NY,10001,212-725-7850,212-725-7850 x119,,,,MH * OP * OMH * ANTPYCH * CBT CFT EMDR IDD IPT TELE * PVTN * MC MD PI PCF SF * SS * TAY SE GL DV PTSD * SMON * CHLD YAD ADLT SNR * SP FX * F47 * VAPN * SPS,"7 West 30Th Street, New York, NY 10001","7, West 30th Street, Koreatown, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10001, United States",40.7464387,-73.9870499,360610076002000,36,061,007600,2000
Bridge Inc,Bridge Diane Goldberg PROS,248 West 108Th Street,,New York,NY,10025,212-663-3000 x1329,212-663-3000 x1372,,,,SA MH SUMH * OP * CMHC OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT DBT GT IDD IPT TELE AIM * PVTN * MC MD PI SF * TAY GL CO TRMA PTSD SMI * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * VPPD * AOT COOT DEC FPSY LAD PRS SEMP VRS CM IPC SPS ES,"248 West 108Th Street, New York, NY 10025","248, West 108th Street, Bloomingdale, Manhattan Community Board 7, Manhattan, New York County, City of New York, New York, 10025, United States",40.8024685,-73.9669628,360610195004000,36,061,019500,4000
