name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info,full_address
New York Psychotherapy Counseling Ctr,Bushwick Child/Family MH Center,102 Pilling Street,,Brooklyn,NY,11207,718-553-1100,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE * PVTN * MC MD SI * TAY SE GL CO TRMA PTSD SED SMI * STU * MST LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F28 F36 F47 * VPPD * AOT COOT FPSY CM SPS,"102 Pilling Street, Brooklyn, NY 11207"
New York Psychotherapy Counseling Ctr,East NY Child Family MH Center,2857 Linden Boulevard,,Brooklyn,NY,11208,718-235-3100,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE AIM * PVTN * MHC * MC MD SI * TAY SE GL CO DV TRMA PTSD SED SMI * STU * MST LABT * TCC * SMPD * CHLD YAD ADLT SNR * AH SP FX * F19 F28 * VPPD * AOT COOT FPSY CM SPS,"2857 Linden Boulevard, Brooklyn, NY 11208"
NYC Health and Hospital/Kings,KCHC/BH/Adult Inpatient Services,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2751,,718-245-2310,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD PI SF SI * PA SS * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203"
NYC Health and Hospital/Kings,KCHC/BH/Adult Outpatient Services,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2704,718-245-2727,,,,SA MH SUMH * OP * OMH * FLUPH HALOP ARIPI CLOZA PALIP RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD PI SF SI * PA SS * TAY PEFP SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F4 F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203"
NYC/HHC Kings County Hospital Center,KCHC Child/Adolescent Psych IP Servs,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2751,,,,,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MD PI SF SI SWFS * PA SS * SED * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * CHLD YAD * AH SP FX * F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203"
NYC/HHC Kings County Hospital Center,Kings County Hospital CPEP,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-2310,,,,,SA MH SUMH * HI OP * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * LCCG * MC MD PI SF SI * PA SS * TAY SE CO SED SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F19 * VAPN * AOT COOT FPSY CM IPC SPS,"451 Clarkson Avenue, Brooklyn, NY 11203"
NYC H/H Kings County Hospital Center,Partial Hospitalization Program KCHC,451 Clarkson Avenue,Building R,Brooklyn,NY,11203,718-245-4956,,,,,SA MH SUMH * OP PHDT * PH * FLUPH HALOP ARIPI CLOZA PALIP RISPE NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * LCCG * MC MD PI SF SI * PA SS * SMI * STU * HIVT STDT TBS MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F19 * VAPN * AOT COOT FPSY CM SPS,"451 Clarkson Avenue, Brooklyn, NY 11203"
NYU Langone Hospital/Brooklyn,,150 55Th Street,Suite 2950,Brooklyn,NY,11220,718-630-7000,718-437-5210,718-630-7189,,,SA MH SUMH * HI * IPSY * CHLOR DROPE FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT GT IDD IPT TELE * CIT PEON WI * PVTN * CLF MC MD MI OSF PI SF SI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * AH SP FX * F4 F17 F31 F35 F42 F66 F70 F81 * VAPN * CDM COOT DEC FPSY IMR PRS VRS CM IPC SPS,"150 55Th Street, Brooklyn, NY 11220"
Ohel Kadimah Pros,,1268 East 14Th Street,,Brooklyn,NY,11230,718-686-3400,,,,,MH SUMH * PHDT * PH * THIOR CLOZA OLANZ OLANZF RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * MC MD SF * SE CO TRMA PTSD SMI * STU * HS PEER * TCC * SMOP * YAD ADLT SNR * VAPP * COOT DEC FPSY ICM IMR PRS SEMP VRS CM IPC SPS ES,"1268 East 14Th Street, Brooklyn, NY 11230"
One Brooklyn Health System,Interfaith Medical Center,1545 Atlantic Avenue,Center for Mental Health,Brooklyn,NY,11213,718-613-4462 x3,718-613-4486,,,,SA MH SUMH * HI OP * OMH * CHLOR FLUPH HALOP PERPH ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * MC MD MI PI SF SI * SS * TAY SE GL CO HV DV TRMA PEFP PTSD SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F19 F25 F28 * VAPN * CDM FPSY IPC SPS,"1545 Atlantic Avenue, Brooklyn, NY 11213"
Pesach Tikvah Hope Development Inc,,4111 18Th Avenue,,Brooklyn,NY,11218,718-875-6900,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * PVTN * MD SF * TAY SE TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY,"4111 18Th Avenue, Brooklyn, NY 11218"
Pesach Tikvah Hope Development Inc,,5309 18Th Avenue,4th Floor,Brooklyn,NY,11204,718-705-5190,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * PVTN * MD SF * TAY SE TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY,"5309 18Th Avenue, Brooklyn, NY 11204"
Pesach Tikvah Hope Development Inc,,640 Broadway,,Brooklyn,NY,11206,718-875-6900,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * PVTN * MD SF * TAY SE TRMA PTSD SED SMI * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY,"640 Broadway, Brooklyn, NY 11206"
Pesach Tikvah Hope Development Inc,Pesach Tikvah Family Services Center,365 Willoughby Avenue,3rd Floor,Brooklyn,NY,11205,718-875-6900 x1100,,,,,MH SUMH * OP * OMH * CHLOR HALOP ARIPI CARIP CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * PVTN * MD PI SF SI SMHA VAF * TAY SE TRMA PTSD SED SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F35 F70 * VAPN * COOT FPSY PRS VRS CM,"365 Willoughby Avenue, Brooklyn, NY 11205"
Puerto Rican Family Institute Inc,Brooklyn Mental Health Clinic,- - -,,Brooklyn,NY,11206,718-963-4430,212-229-6972 x1972,,,,MH SUMH * OP * OMH * ARIPI CLOZA QUETI RISPE ANTPYCH * CBT CFT GT IPT TELE * CIT * PVTN * MC MD PI SF SI * TRMA * STU * PEER * TCC * SMPD * CHLD YAD ADLT * SP * VAPN * CM,"- - -, Brooklyn, NY 11206"
Services for the Underserved,Wellness Works Clinic,1125 Fulton Street,2nd Floor,Brooklyn,NY,11238,347-226-9025,,877-583-5336,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP ARIPI CLOZA OLANZ QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * MC MD PI SF SI SMHA SWFS * CO PEFP SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP FX * F70 * VAPN * AOT DEC FPSY PRS SEMP VRS CM SPS,"1125 Fulton Street, Brooklyn, NY 11238"
South Beach Psychiatric Center,Bensonhurst OP Clinic,8620 18Th Avenue,,Brooklyn,NY,11214,718-256-8818,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * STG * MC MD PI SF SI SMHA * SE CO TRMA SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F17 F19 * VAPN * AOT FPSY PRS VRS SPS,"8620 18Th Avenue, Brooklyn, NY 11214"
South Beach Psychiatric Center,Coney Island/Sheepshead Bay Clinic,626 Sheepshead Bay Road,"3rd Floor, Room 300",Brooklyn,NY,11224,718-946-2600,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * STG * MC MD PI SF SI SMHA * TAY SE CO TRMA PEFP SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F70 * VAPN * AOT FPSY PRS VRS SPS,"626 Sheepshead Bay Road, Brooklyn, NY 11224"
South Beach Psychiatric Center,Mapleton Outpatient Clinic,1083 Mcdonald Avenue,,Brooklyn,NY,11230,718-421-7444,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * STG * MC MD PI SF SI SMHA * SE CO TRMA SMI * STU * MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH SP FX * F70 * VAPN * AOT FPSY PRS VRS SPS,"1083 Mcdonald Avenue, Brooklyn, NY 11230"
Spanish Spk Elderly Council/RAICES Inc,Raices Casa Bienestar,460 Atlantic Avenue,1st Floor,Brooklyn,NY,11217,718-222-1518 x213,718-222-1518,,,,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA LURAS OLANZ QUETI RISPE ANTPYCH * CBT DBT GT IDD IPT TELE * PVTN * MC MD PI SF * SS * SE GL CJ CO HV TRMA PEFP PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * SP FX * F28 * VAPN * CDM COOT DEC FPSY IMR CM IPC,"460 Atlantic Avenue, Brooklyn, NY 11217"
VA NY Harbor Healthcare System,Brooklyn Campus,800 Poly Place,,Brooklyn,NY,11209,718-836-6600,718-836-6600 x3715,,,,SA MH SUMH * OP PHDT RES * VAHC * CHLOR FLUPH HALOP LOXAP PERPH TRIFL ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * FED VAMC * MI PI SF VAF * SE GL VET ADM CO HV TBI ALZ * STU * MST LABT * HS PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT COOT DEC FPSY ICM LAD PRS SEMP SH CM IPC SPS ES,"800 Poly Place, Brooklyn, NY 11209"
Willow Behavioral Health,Osier Health,1130 Bedford Avenue,Suite 1061,Brooklyn,NY,11216,646-814-1530,,,,,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT CFT DBT EMDR IDD IPT TELE * CIT PEON WI * PVTP * MHC * MC MD MI PI PCF SF SI * PA * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SMI * STU * HS PEER * TCC * SMON * YAD ADLT SNR * AH SP NX FX * F4 F17 F19 F25 F28 F30 F31 F35 F36 F37 F42 F43 F47 F66 F67 F70 F81 F92 N24 N40 * VAPN * ACT COOT FPSY ICM SEMP CM IPC SPS ES,"1130 Bedford Avenue, Brooklyn, NY 11216"
Association to Benefit Children,Fast Break Echo Park,1841 Park Avenue,,New York,NY,10035,646-459-6165,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CMHG MD SF SI SMHA SWFS * TAY GL CJ DV TRMA PED PTSD SED * STU * PEER * TCC * SMON * CHLD YAD * AH SP FX * F4 F66 * VAPN * COOT FPSY CM SPS ES,"1841 Park Avenue, New York, NY 10035"
Association to Benefit Children,Fast Break The Bronx,1366 Inwood Avenue,,New York,NY,10452,646-459-6165,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * CMHG MD SF SI SMHA SWFS * TAY GL CJ DV TRMA PTSD SED * STU * PEER * TCC * SMON * CHLD YAD * AH SP FX * F66 * VAPN * COOT FPSY CM SPS ES,"1366 Inwood Avenue, New York, NY 10452"
Bailey House Inc,Outpatient Clinic,1751 Park Avenue,3rd Floor,New York,NY,10035,718-277-0386,212-289-6008,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL VET CJ CO HV DV TRMA PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH SP * VAPN * FPSY CM IPC SPS,"1751 Park Avenue, New York, NY 10035"
Blanton Peale Counseling Center,Blanton Peale Institute,7 West 30Th Street,9th and 10th Floors,New York,NY,10001,212-725-7850,212-725-7850 x119,,,,MH * OP * OMH * ANTPYCH * CBT CFT EMDR IDD IPT TELE * PVTN * MC MD PI PCF SF * SS * TAY SE GL DV PTSD * SMON * CHLD YAD ADLT SNR * SP FX * F47 * VAPN * SPS,"7 West 30Th Street, New York, NY 10001"
Bridge Inc,Bridge Diane Goldberg PROS,248 West 108Th Street,,New York,NY,10025,212-663-3000 x1329,212-663-3000 x1372,,,,SA MH SUMH * OP * CMHC OMH * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CRT DBT GT IDD IPT TELE AIM * PVTN * MC MD PI SF * TAY GL CO TRMA PTSD SMI * STU * HS PEER * TCC * SMPD * YAD ADLT SNR * VPPD * AOT COOT DEC FPSY LAD PRS SEMP VRS CM IPC SPS ES,"248 West 108Th Street, New York, NY 10025"
Bridge Inc,Mental Health Clinic,248 West 108Th Street,,New York,NY,10025,212-663-3000 x1372,,,,,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT DBT GT IDD IPT TELE * PVTN * MC MD PI * TAY CO TRMA PTSD SMI * STU * HS * TCC * SMPD * CHLD YAD ADLT SNR * VPPD * AOT COOT FPSY LAD PRS CM IPC SPS,"248 West 108Th Street, New York, NY 10025"
Center for Hearing and Communications,,50 Broadway,6th Floor,New York,NY,10004,917-305-7739,,917-305-7700,,,MH * OP * OMH * CHLOR FLUPH HALOP ARIPI CLOZA OLANZ OLANZF RISPE ANTPYCH * CBT CFT DBT GT IPT TELE * CIT * PVTN * MC MD OSF PI PCF SF SI SMHA * SS * TAY SE GL VET CJ HV DV TRMA TBI PED PTSD SMI * STU * TCC * SMOP * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY,"50 Broadway, New York, NY 10004"
Childrens Aid Society,Dunlevy Milbank Center,14-32 West 118Th Street,,New York,NY,10026,212-369-8339,,212-831-9829,,,MH * OP * OMH * CBT IPT TELE * PVTN * MD SF SI SWFS * SS * TAY GL TRMA PTSD SED * STU * SMON * CHLD YAD * AH SP * VAPP * FPSY IPC SPS,"14-32 West 118Th Street, New York, NY 10026"
Community Access,East Village Access PROS,242 East 2Nd Street,,New York,NY,10009,212-780-9008 x7204,212-780-9008 x7219,,,,SA MH SUMH * OP PHDT * OMH * NSC ANTPYCH * AT CBT DBT GT IDD TELE * PVTN * MC MD SMHA * CO TRMA PTSD SMI * STU * MST LABT * PEER * TCC * SMOP * YAD ADLT SNR * VAPP * FPSY PRS SEMP VRS SPS,"242 East 2Nd Street, New York, NY 10009"
Community Counseling Mediation Inc,Manhattan Clinic,15 West 39Th Street,2nd Floor,New York,NY,10018,212-564-6006,718-802-0666,,,,SA MH SUMH * OP * OMH * HALOP ARIPI OLANZ QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT * CIT * PVTN * MC MD PI SF * TAY SE GL VET CJ CO HV DV TRMA TBI PEFP PTSD SED SMI * STU * TCC * SMOP * CHLD YAD ADLT SNR * SP FX * F17 * VAPP * COOT CM SPS,"15 West 39Th Street, New York, NY 10018"
Cylar House Behavioral Health Clinic,Housing Works Mental Health Clinic,326 West 48Th Street,1st Floor,New York,NY,10036,718-277-0386,718-277-0386 x4217,,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * PVTN * FQHC * MC MD PI SF SI * PA SS * SE GL VET CJ CO HV DV TRMA PTSD SMI * STU * TCC * SMON * YAD ADLT SNR * AH * VAPN * FPSY CM IPC SPS,"326 West 48Th Street, New York, NY 10036"
FAIR,,1090 Saint Nicholas Avenue,Upper Level,New York,NY,10032,646-992-3357,212-543-4445,,,,SA MH * OP * NRT NSC * CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF SI * SS * SE CO PTSD SMI * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * COOT FPSY IMR PRS CM SPS,"1090 Saint Nicholas Avenue, New York, NY 10032"
Fast Break 115th,,158 East 115Th Street,,New York,NY,10029,646-459-6161,,,,,MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * PVTN * CMHG MD SF SI SMHA SWFS * TAY GL CJ DV TRMA PED PTSD SED * STU * PEER * TCC * SMON * CHLD YAD * AH SP FX * F35 F66 * VAPN * COOT FPSY CM SPS ES,"158 East 115Th Street, New York, NY 10029"
Graham Windham,Manhattan Mental Health Center,274 West 145Th Street,2nd Floor,New York,NY,10039,212-368-4100,,,,,MH * OP * OMH * CBT CFT GT IPT TELE * PVTN * MD * TAY TRMA PTSD SED * SMOP * CHLD YAD * SP * VAPP * FPSY TPC,"274 West 145Th Street, New York, NY 10039"
Greenwich House Inc,The Center for Resiliency and Wellness,27 Barrow Street,3rd Floor,New York,NY,10014,212-242-4140 x251,,212-242-4140 x249,,,SA MH SUMH * OP * OMH * PERPH ARIPI QUETI ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * WI * PVTN * MHC * CLF MC MD PI SF * SS * TAY SE GL VET CO HV DV TRMA PED PTSD SED SMI * STU * TCC * SMPD * CHLD YAD ADLT SNR * SP FX * F17 F28 F35 F70 * VPPD * FPSY CM SPS,"27 Barrow Street, New York, NY 10014"
Hudson Guild Counseling Service,,441 West 26Th Street,,New York,NY,10001,212-760-9822,,,,,MH SUMH * OP * OMH * ARIPI RISPE ANTPYCH * CBT DBT IPT TELE * PVTN * MC MD PI SF SI * STU * TCC * SMON * CHLD YAD ADLT SNR * SP * VAPN * FPSY,"441 West 26Th Street, New York, NY 10001"
Karen Horney Clinic Inc,,329 East 62Nd Street,,New York,NY,10065,212-838-4333,212-838-4333 x137,,,,SA MH SUMH * OP * OMH * PERPH ARIPI BREXP OLANZ OLANZF QUETI RISPE ZIPRA NRT NSC ANTPYCH * IPT TELE * PVTN * MC MD PI SF SI * TAY SE GL CO HV TRMA PTSD * STU * TCC * SMON * CHLD YAD ADLT SNR * FX * F17 F28 * VAPN * SPS,"329 East 62Nd Street, New York, NY 10065"
Lighthouse Guild Behavioral Health,JGB MH and MR Services,250 West 64 Street,,New York,NY,10023,212-769-7800,,,,,MH SUMH * OP * OMH * CHLOR FLUPH HALOP PERPH THIOT THIOR TRIFL ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PVTN * MC MD OSF PI PCF SF * SE TBI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * SP * VAPN * CDM FPSY IPC,"250 West 64 Street, New York, NY 10023"
Lower Eastside Service Center,Continuing Day Treatment Program,46 East Broadway,2nd Floor,New York,NY,10002,212-343-3520,,212-343-3563,,,MH * OP * OMH * ANTPYCH * AT CBT CFT GT IPT TELE * PEON * PVTN * MC MD PI SF * SS * SMI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * VAPN * DEC FPSY ICM PRS CM SPS,"46 East Broadway, New York, NY 10002"
Lower Eastside Service Center,Dual Recovery Services,46 East Broadway,6th Floor,New York,NY,10002,212-343-3520,,212-343-3522,,,SA MH * OP * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT ANTPYCH * CBT GT IDD IPT TELE * PVTN * MD SF * PA SS * CO * STU * PEER * TCC * SMON * YAD ADLT SNR * VAPN * COOT SPS,"46 East Broadway, New York, NY 10002"
Metropolitan Center for Mental Health,,160 West 86Th Street,,New York,NY,10024,212-362-8755,646-992-3357,,,,MH SUMH * OP * OMH * ARIPI BREXP CARIP LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF * SS * TAY SE TRMA SED SMI * SMON * CHLD YAD ADLT SNR * SP FX * F28 * VAPN * FPSY SPS,"160 West 86Th Street, New York, NY 10024"
Metropolitan Center for Mental Health,,1090 Saint Nicholas Avenue,,New York,NY,10032,212-543-0777,646-992-3357,,,,MH SUMH * OP * OMH * ARIPI BREXP CARIP LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * MC MD PI SF * SS * TAY SE TRMA SED SMI * SMON * CHLD YAD ADLT SNR * SP FX * F28 * VAPN * FPSY SPS,"1090 Saint Nicholas Avenue, New York, NY 10032"
Metropolitan Center for Mental Health,,336 Central Park West,,New York,NY,10025,212-864-3666,646-992-3357,,,,MH SUMH * OP * OMH * ARIPI BREXP CARIP LURAS OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * PVTN * CMHG MC MD PI SF VAF * SS * TAY SE TRMA SED SMI * SMON * CHLD YAD ADLT SNR * SP FX * F28 * VAPN * FPSY SPS,"336 Central Park West, New York, NY 10025"
Metropolitan Hospital Center,Psychiatric Services,1901 1St Avenue,Room 4M3,New York,NY,10029,212-423-7155,212-423-6262,,,,MH SUMH * HI OP * OMH * CHLOR HALOP PERPH TRIFL ARIPI ASENA BREXP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CFT DBT GT IPT TELE * PEON WI * STG * CLF ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * PA SS * TAY SE GL VET ADM MF CJ CO HV TRMA TBI ALZ PED PTSD SED SMI * STU * HIVT STDT TBS MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP FX * F4 F17 F19 F25 F28 F35 F36 F47 F70 * VAPN * ACT AOT CDM COOT FPSY LAD PRS SEMP SH VRS IPC SPS,"1901 1St Avenue, New York, NY 10029"
Mount Sinai Morningside,Department of Psychiatry,1090 Amsterdam Avenue,16th Floor,New York,NY,10025,212-523-4139,212-523-8080,,,,SA MH SUMH * HI OP * IPSY * CHLOR FLUPH HALOP PERPH ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * MC MD PI SF SI SMHA * TAY SE GL CO HV TRMA PEFP PTSD SED SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * CDM COOT DEC FPSY IMR PRS IPC SPS ES,"1090 Amsterdam Avenue, New York, NY 10025"
New York City Childrens Center,Queens Mid Childhood Clinic at PS 169,110 East 88Th Street,,New York,NY,10128,212-987-2010,,212-987-2513,,,SA MH SUMH * OP * OMH * NRT NSC ANTPYCH * CBT CRT CFT DBT GT IDD IPT TELE AIM * STG * MD PI SI SMHA * CO PTSD SED * STU * MST LABT * PEER * TCC * SMON * CHLD * AH SP * VAPN * AOT COOT DEC FPSY PRS VRS CM SPS ES,"110 East 88Th Street, New York, NY 10128"
New York Presbyterian Hospital,Morgan Stanley Childrens Hospital,3959 Broadway,"6th Floor, North Wing Pediatric Psych",New York,NY,10032,212-305-3093,212-305-0924,,,,SA MH SUMH * OP * OMH * HALOP ARIPI CLOZA LURAS OLANZ OLANZF QUETI RISPE ANTPYCH * CBT CFT DBT GT IPT TELE * CIT PEON PEOFF * PVTN * MC MD PI SF SI * TAY GL HV DV TRMA PTSD SED * STU * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * FPSY CM SPS ES,"3959 Broadway, New York, NY 10032"
Northside Center for Child Development,Home Based Crisis Intervention,1475 Park Avenue,,New York,NY,10029,212-426-3400,646-596-2967,,,,MH * OP * OMH * HALOP LOXAP ARIPI OLANZ RISPE ZIPRA ANTPYCH * CBT CFT DBT IPT * PVTN * SMHA * PA * SED * SMON * CHLD YAD * SP * VAPN * FPSY,"1475 Park Avenue, New York, NY 10029"
Northside Ctr Therapeutic Early Child,Preschool Day Treatment,1475 Park Avenue,,New York,NY,10029,212-426-3400,212-426-3400 x3459,212-426-3400 x3464,,,MH * OP PHDT * PH * AT CBT GT IPT TELE * CIT * PVTN * MD SEF * PA * TRMA PTSD SED * SMON * CHLD * VAPN * FPSY CM ES,"1475 Park Avenue, New York, NY 10029"
