name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Southwestern Behavioral Healthcare Inc,Moulton Center,1 North Barker Avenue,,Evansville,IN,47712,812-423-4418,812-423-7791,,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IPT TELE * PVTN * CLF MC MD MI PI SCJJ SF SI SMHA * SS * TAY CJ TRMA PTSD SED * STU * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * IMR PRS CM SPS
Crossroad Child and Family Servs Inc,,1825 Beacon Street,,Fort Wayne,IN,46805,260-484-4153,,,,,MH SUMH * OP RES * MSMH * AT CBT CFT DBT GT IPT TELE * PVTN * MD OSF PI SCJJ SEF SF SWFS * SS * CO TRMA PTSD SED * STU * SMON * CHLD YAD ADLT SNR * SP * VAPN * COOT FPSY PRS CM ES
Family and Childrens Services Inc,DBA Headwaters Counseling,2712 South Calhoun Street,,Fort Wayne,IN,46807,260-744-4326,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IDD IPT TELE * PVTN * MHC * CLF MC MD MI PI PCF SF SI SMHA SWFS * SS * GL CJ TRMA PTSD * STU * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT DEC FPSY SPS ES
National Youth Advocate Program Inc,,2200 Lake Avenue,,Fort Wayne,IN,46805,260-702-0360,,,,,MH SUMH * OP * OMH * CBT CFT IPT TELE * CIT * PVTN * MD SCJJ SWFS * TAY * HS PEER * SMOP * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY LAD PRS SEMP TPC VRS CM SPS ES
Otis R Bowen Ctr for Human Servs,Allen County,2100 Goshen Road,,Fort Wayne,IN,46808,574-385-3138,800-342-5653,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON WI * PVTN * CMHG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * SS * TAY SE GL CO DV TRMA PTSD SED SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT FPSY ICM IMR PRS CM IPC SPS
Park Center Inc,,909 East State Boulevard,"Buildings A, B and C",Fort Wayne,IN,46805,260-481-2700,,260-481-2800,,,MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IPT TELE AIM * CIT PEOFF * PVTN * CMHG MC MD MI PI SF SI SMHA SWFS * SE GL TRMA PTSD SED SMI * STU * MST * HS PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT COOT FPSY ICM IMR PRS SEMP SH VRS CM SPS
Park Center Inc,Park Center Lake Avenue,2710 Lake Avenue,,Fort Wayne,IN,46805,260-481-2700,,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT EMDR GT IPT TELE AIM * PVTN * MC MD MI PI SF SI SMHA SWFS * TRMA PED PTSD SED SMI * STU * MST * PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT DEC FPSY PRS CM SPS
Parkview Behavioral Health,,1720 Beacon Street,,Fort Wayne,IN,46805,260-373-7500,,800-284-8439,,,SA MH SUMH * HI OP * IPSY * CHLOR HALOP PERPH THIOR ARIPI BREXP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT DBT ECT GT IDD AIM * PEON * PVTN * MC MD PI SF SI SMHA SWFS * TAY SE GL VET MF CO HV TRMA ALZ PED PEFP PTSD SMI * STU * MST LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT CM SPS
Phoenix Associates Inc,,2200 Lake Avenue,Suite 260,Fort Wayne,IN,46805,260-424-0411,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT EMDR GT IPT TELE * PVTP * MC MD PI SF SI * SE * SMPD * CHLD YAD ADLT SNR * AH * VPPD * COOT
VA Northern Indiana Healthcare System,,2500 East State Boulevard,,Fort Wayne,IN,46805,260-426-5431,,,,,SA MH SUMH * HI OP * VAHC * HALOP LOXAP ARIPI CLOZA ILOPE OLANZ OLANZF PALIP QUETI RISPE NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * FED VAMC * MI PI VAF * TAY SE GL VET MF CJ CO HV TRMA TBI ALZ PTSD SMI * STU * LABT * HS PEER * TCC * SMON * YAD ADLT SNR * VAPN * ACT CDM COOT DEC FPSY ICM IMR LAD PRS SEMP SH VRS CM IPC SPS ES
Adult and Child Health,Northwood Plaza,1860 Northwood Plaza,,Franklin,IN,46131,317-882-5122,,,,,SA MH SUMH * OP * CHLOR HALOP ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEOFF * PVTN * FQHC * CLF CMHG FG MC MD MI OSF PI SF SI SMHA SWFS * PA SS * STU * HIVT STDT MST HBT HCT LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR CM IPC SPS
Oaklawn Psychiatric Center Inc,,330 Lakeview Drive,,Goshen,IN,46528,574-533-1234,574-533-1234 x2700,,,,SA MH SUMH * HI OP RES * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG FG MC MD MI PI PCF SF SI SMHA SWFS * PA SS * PEFP * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT FPSY IMR PRS SH CM SPS
Cummins BH Systems Inc,Putnam,308 Medic Way,,Greencastle,IN,46135,888-714-1927 x1500,,,,,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * WI * PVTN * CLF MC MD MI PI SCJJ SF SI SMHA SWFS * SS * CJ CO TRMA PTSD SED SMI * STU * TBS LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY ICM PRS SEMP CM SPS
Hamilton Center Inc,,239 Hillsdale Avenue,,Greencastle,IN,46135,765-653-1024,,800-742-0787,,,SA MH SUMH * OP * CMHC * RISPE ANTPYCH * CBT CFT DBT GT IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA PED PTSD SED SMI * STU * HS * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY ICM IMR PRS CM IPC SPS
Community Fairbanks Behavioral Health,Hancock County,145 Green Meadows Drive,,Greenfield,IN,46140,317-318-7100,317-621-5700 x2,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH THIOT ARIPI ASENA BREXP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT EMDR GT IDD IPT TELE * CIT PEOFF * PVTN * CLF CMHG MC MD MI PI SCJJ SF SI SMHA SWFS * TAY SE GL CJ CO TRMA PTSD SMI * STU * HS * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT IMR SH CM
Centerstone of Indiana Inc,Centerstone Decatur County,1530 Commerce Park West Drive,,Greensburg,IN,47240,877-467-3123,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * PA SS * TAY CJ CO DV TRMA PTSD SED SMI * STU * TBS * PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY IMR PRS CM SPS
Centerstone of Indiana Inc,Centerstone Johnson County,1644 Fry Road,Suites C and D,Greenwood,IN,46142,877-467-3123,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * PA SS * TAY CJ CO DV TRMA PTSD SED SMI * STU * TBS * PEER * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY IMR PRS CM SPS
Valle Vista Hospital,,898 East Main Street,,Greenwood,IN,46143,317-887-1348 x5300,317-887-1348,800-447-1348,,,SA MH * HI OP PHDT RES * PSY * CHLOR HALOP ARIPI ASENA CARIP CLOZA LURAS OLANZ PALIP QUETI NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTP * MC MD MI PI SF SI SMHA SWFS VAF * CO TRMA PTSD * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VAPN * COOT SPS
Grant Blackford Mental Health Inc,Hester Hollis Concern Center,118 East Washington Street,,Hartford City,IN,47348,765-348-1303,,765-662-3971,,765-293-9315,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEON PEOFF * PVTN * CLF CMHG CSBG FG ITU MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * PA SS * CJ CO TRMA PTSD * STU * MST * PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * ACT COOT DEC FPSY ICM PRS VRS CM SPS ES
Regional Health Systems,Lakeside Counseling Center,2600 Highway Avenue,,Highland,IN,46322,219-972-0131,219-769-4005,,,,SA MH SUMH * OP * CMHC * HALOP ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF CMHG MC MD MI PI SCJJ SF SI SMHA SWFS * PA SS * DV SMI * STU * TBS * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * CM
Regional Health Systems,Ridgewood,7783 East Ridge Road,,Hobart,IN,46342,219-769-4005,,,,,SA MH SUMH * OP * CMHC * HALOP ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF CMHG MC MD MI PI SF SI SMHA SWFS * PA SS * SMI * STU * TBS * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT
Otis R Bowen Ctr for Human Servs,Huntington County Office,2860 North Park Avenue,,Huntington,IN,46750,260-345-1335,800-342-5652,260-356-2875,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PIMOZ TRIFL ARIPI ASENA CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT WI * PVTN * FQHC * CLF CMHG CSBG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SS * CO TRMA SMI * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT COOT FPSY IMR PRS CM IPC SPS
Park Center Inc,Huntington,26 Victory Noll Drive,,Huntington,IN,46750,260-481-2700,,,,,SA MH SUMH * OP PHDT * CMHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT EMDR GT IPT TELE AIM * PVTN * MC MD MI PI SF SI SMHA SWFS * CJ TRMA PTSD SMI * STU * MST * HS PEER * SMON * YAD ADLT SNR * AH * VAPN * COOT FPSY IMR PRS CM SPS
Adult and Child Center,Wulsin,222 East Ohio Street,Suite 600,Indianapolis,IN,46204,317-275-8800,317-882-5122,,,,SA MH SUMH * OP * CHLOR HALOP PROCH THIOT ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT IDD IPT TELE AIM * CIT PEOFF * PVTN * FQHC * CLF CMHG FG MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * PA SS * STU * HIVT STDT MST HBT HCT LABT * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY CM IPC SPS
Adult and Child Health,,8404 Siear Terrace,Suite 100,Indianapolis,IN,46227,317-882-5122,,,,,SA MH SUMH * OP * CMHC * AT CBT DBT IPT TELE * CIT PEOFF * PVTN * CLF CMHG FG MC MD MI OSF PI SF SI SMHA SWFS * PA SS * STU * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * FPSY CM SPS
Adult and Child Health,East Washington Office,603 East Washington Street,,Indianapolis,IN,46204,317-882-5122,877-882-5122,,,,SA MH SUMH * OP * CMHC * CBT CFT DBT IPT * CIT PEOFF * PVTN * CLF CMHG FG MD MI OSF PI SF SI SMHA SWFS * PA SS * STU * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * ACT FPSY IMR SEMP SH TPC VRS CM SPS
Adult and Child Mental Health Ctr Inc,,8320 Madison Avenue,,Indianapolis,IN,46227,317-882-5122,,,,,SA MH SUMH * OP * CHLOR FLUPH HALOP LOXAP THIOT ARIPI ASENA CARIP CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * FQHC * CLF CMHG FG MC MD MI OSF PI SCJJ SF SI SMHA SWFS * PA SS * STU * HIVT STDT MST HBT HCT LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR CM IPC SPS
American Behavioral Counseling,,855 North High School Road,Suite 6,Indianapolis,IN,46214,317-282-3088,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTP * MHC * MC MD MI PI SCJJ SF SI * TAY SE GL VET ADM MF CO DV TRMA PED PTSD SED SMI * SMPD * CHLD YAD ADLT SNR * VPPD * AOT CDM COOT DEC FPSY IMR SPS ES
American Behavioral Counseling LLC,East,1515 North Post Road,Suite A,Indianapolis,IN,46219,317-282-3088,,,,,SA MH SUMH * OP * OMH * CBT CFT DBT GT IDD IPT TELE * CIT * PVTP * MHC * MC MD MI PI SCJJ SF SI * TAY SE GL VET ADM MF CO DV TRMA PED PTSD SED SMI * SMPD * CHLD YAD ADLT SNR * VPPD * AOT CDM COOT DEC FPSY IMR SPS ES
Aspire Indiana Health,Deaf Services,2506 Willowbrook Parkway,,Indianapolis,IN,46205,877-574-1254,,,,,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE * CIT * PVTN * CLF CMHG MC MD MI PI SCJJ SF SI SMHA SWFS VAF * SS * TRMA SED SMI * STU * TBS MST LABT * HS * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR LAD PRS SEMP VRS CM IPC SPS
Community Health Network,Community Fairbanks Behavioral Health,2040 North Shadeland Avenue,Suites 200 and 250,Indianapolis,IN,46219,317-355-5009,317-621-5719,,,,SA MH SUMH * OP * CMHC * NSC * AT CBT CFT DBT GT IDD IPT TELE * CIT * PVTN * CLF MC MD OSF PI SCJJ SEF SF SI SMHA SWFS * CO PTSD * STU * PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT CM SPS
Community Hospitals of Indiana Inc,Gallahue Mental Health Center,7165 Clearvista Way,,Indianapolis,IN,46256,317-621-5700,317-621-5719,866-621-5719,,,SA MH SUMH * HI * CMHC * NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT WI * PVTN * CLF MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * SS * SE CO ALZ SMI * STU * MST LABT * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT DEC FPSY CM SPS
Cummins BH Systems Inc,Marion,5638 Professional Circle,Suites 205 and 206,Indianapolis,IN,46241,888-714-1927 x1500,888-714-1927,,,,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * WI * PVTN * CLF MC MD MI PI SCJJ SF SI SMHA SWFS * SS * CJ CO TRMA PTSD SED SMI * STU * TBS LABT * PEER * TCC * SMON * CHLD YAD ADLT SNR * VAPN * COOT FPSY ICM PRS SEMP CM SPS
Firefly Children and Family Alliance,,2240 North Meridian Street,,Indianapolis,IN,46208,317-634-6341,,,,,SA MH * OP * OMH * CBT CFT EMDR GT IDD IPT TELE * PVTN * MD PI SF SI SWFS * SS * TAY GL TRMA PTSD SED * STU * PEER * SMON * CHLD YAD ADLT SNR * AH SP * VAPN * COOT FPSY CM SPS
Hamilton Center Inc,,2160 North Illinois Street,,Indianapolis,IN,46202,317-937-3700,,800-742-0787,,,SA MH SUMH * OP * CMHC * RISPE ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG MC MD MI OSF PI SCJJ SF SI SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO HV TRMA PED PTSD SED SMI * STU * HS PEER * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY ICM IMR PRS CM SPS
Indianapolis Vet Ctr for Readjustment,Indianapolis,6330 West 71st Street,,Indianapolis,IN,46278,317-423-1680,,,,,MH * OP * OMH * AT CBT CRT CFT DBT EMDR GT IPT TELE * FED VAMC * VAF * PA * VET ADM MF PTSD * SMON * YAD ADLT SNR * VAPN * FPSY SPS
IU Health Methodist Hospital,,1701 North Senate Boulevard,Building C,Indianapolis,IN,46202,317-962-5500,317-962-2622 x1,,,,SA MH * HI PHDT * IPSY * CHLOR HALOP ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT CBT ECT GT * PEON * PVTN * MC MD PI SF SI * PED * STU * STDT MST LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * DEC FPSY SPS
IU Health Riley Hospital,Child Psych Unit RI 4N,705 Riley Hospital Drive,,Indianapolis,IN,46202,317-962-5500,,,,,MH SUMH * HI * IPSY * HALOP ARIPI CLOZA LURAS OLANZ PALIP RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT * PEON * PVTN * MC MD PI SF SI * PED * STU * STDT MST LABT * TCC * SMON * CHLD * AH * VAPN * DEC FPSY SPS
Journey Road Treatment Center,,5610 Crawfordsville Road,Suite 15,Indianapolis,IN,46224,317-562-0500,,,,,SA MH SUMH * OP * OMH * PROCH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * PVTP * MHC * MC MD PI SCJJ SF SI * GL VET ADM MF CO TRMA PED PTSD SMI * STU * MST LABT * TCC * SMPD * YAD ADLT SNR * VPPD * COOT DEC CM IPC
Journey Road Treatment Center,,8106 Madison Avenue,,Indianapolis,IN,46227,317-884-1752,,,,,SA MH SUMH * OP * OMH * PROCH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT IDD IPT TELE * PVTP * MHC * MC MD PI SCJJ SF SI * GL VET ADM MF CO TRMA PED PTSD SMI * STU * MST LABT * TCC * SMPD * YAD ADLT SNR * VPPD * COOT DEC CM IPC
Kathi and Bob Postlethwait,Mental Health Recovery Center,720 Eskenazi Drive,,Indianapolis,IN,46202,317-880-8505,317-880-8491,,,,SA MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IPT * CIT PEON * LCCG * CLF CMHG CSBG MC MD MI OSF PI SCJJ SF SI SMHA * STU * TBS MST LABT * HS PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR CM SPS ES
National Youth Advocate Program Inc,,4701 North Keystone Avenue,Suite 150,Indianapolis,IN,46205,317-475-9294,,,,,MH SUMH * OP * OMH * CBT CFT IPT TELE * CIT * PVTN * MD SCJJ SWFS * TAY * HS PEER * SMOP * CHLD YAD ADLT SNR * AH * VAPP * COOT FPSY LAD PRS SEMP TPC VRS CM SPS ES
NeuroDiagnostic Institute,,5435 East 16th Street,,Indianapolis,IN,46218,317-941-4114 x4114,317-941-4294 x4114,,,,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT TELE AIM * STG * MC MD PI SEF SF * TAY SE GL VET CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SED SMI * STU * MST LABT * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR PRS IPC SPS ES
Reach for Youth Inc,,3505 Washington Boulevard,,Indianapolis,IN,46205,317-920-5900,,,,,SA MH SUMH * OP * OMH * ANTPYCH * CBT CFT GT IPT TELE * PVTN * MC MD PI PCF SF SI SWFS * PA SS * GL CJ HV DV PTSD SED * SMON * CHLD YAD * VAPN * COOT FPSY
Sandra Eskenazi Mental Health Center,James Wright Building,1700 North Illinois Street,,Indianapolis,IN,46202,317-554-5700,317-880-8491,,,,SA MH SUMH * OP * CMHC * NRT NSC * AT CBT CFT DBT GT IDD IPT TELE * PEON WI * PVTN * CLF MC MD OSF PI SCJJ SEF SF SI SMHA SWFS * SE GL VET MF CJ CO HV TRMA PTSD SMI * STU * HS * TCC * SMON * YAD ADLT SNR * AH SP * VAPN * COOT FPSY LAD PRS SEMP VRS CM IPC SPS ES
Sandra Eskenazi Mental Health Center,Mood Team,5610 Crawfordsville Road,"Building 22, Suite 2201",Indianapolis,IN,46224,317-880-8491,,,,,SA MH SUMH * OP * CMHC * ARIPI ASENA BREXP CARIP ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TMS TELE * CIT PEON WI * PVTN * MC MD MI PI SF SI * CO TRMA PTSD SMI * STU * MST LABT * TCC * SMON * YAD ADLT SNR * AH SP * VAPN * DEC ICM PRS CM SPS
Sandra Eskenazi MH Center,Adult Addictions,3171 North Meridian Street,,Indianapolis,IN,46208,317-880-8491,,,,,SA MH SUMH * OP * CMHC * NRT ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEOFF * LCCG * CMHG CSBG MC MD PI SCJJ SF SI * GL CJ CO TRMA * STU * HIVT STDT TBS MST HCT LABT * HS PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * ACT COOT FPSY ICM CM
LifeSpring Health Systems,Jasper Office,480 Eversman Drive,,Jasper,IN,47546,812-482-3020,,,,,SA MH SUMH * OP * CMHC * NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * CIT PEOFF * PVTN * FQHC * CLF CMHG CSBG ITU MC MD MI OSF PI SCJJ SEF SF SI SMHA SWFS VAF * PA SS * CO SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * SMPD * CHLD YAD ADLT SNR * AH * VPPD * CDM COOT IMR PRS VRS CM SPS ES
Memorial Counseling Center,,721 West 13th Street,Suite 121,Jasper,IN,47546,812-996-5780,812-996-5780 x1,812-827-6222,,,SA MH SUMH * OP * OMH * HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * CBT CFT DBT EMDR IDD IPT TELE AIM * CIT PEON * PVTN * MC MD MI PI SF * STU * TCC * SMON * CHLD YAD ADLT SNR * AH * VAPN * FPSY IPC SPS ES
Memorial Hospital and Healthcare Ctr,Behavioral Health,800 West 9th Street,,Jasper,IN,47546,812-996-6000 x437,812-996-6000,812-827-6222,,,SA MH SUMH * HI * IPSY * HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * CIT PEON WI * PVTN * MC MD MI PI SF * SS * STU * HIVT STDT TBS MST HBT HCT LABT * TCC * SMON * YAD ADLT SNR * AH * VAPN * CDM COOT DEC FPSY IMR PRS IPC SPS ES
Associates in Counseling and,Psychotherapy,425 Watt Street,,Jeffersonville,IN,47130,812-944-1550,,,,,SA MH SUMH * OP * OMH * AT CBT CFT DBT GT IDD IPT TELE * PVTP * CLF MC MD PI SCJJ SF SI SMHA SWFS * TAY SE GL VET CJ CO DV TRMA PED PEFP PTSD SED * SMPD * CHLD YAD ADLT SNR * VPPD * COOT FPSY CM
Centerstone of Indiana Inc,Centerstone Clark County,1713 East 10th Street,Suite E,Jeffersonville,IN,47130,877-467-3123,,,,,SA MH SUMH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON WI * PVTN * CLF CMHG CSBG MC MD MI OSF PI PCF SCJJ SEF SF SI SMHA SWFS VAF * PA SS * GL CJ CO TRMA PTSD SED * STU * TBS * SMON * CHLD YAD ADLT SNR * AH * VAPN * COOT FPSY ICM PRS CM SPS
Clark Memorial Hospital,Behavioral Health Services,1220 Missouri Avenue,,Jeffersonville,IN,47130,812-283-2718,812-283-2811,812-282-2765,,,SA MH SUMH * HI * IPSY * CHLOR HALOP ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTP * MC MD MI OSF PI SF * TAY SE CO TRMA ALZ PED PTSD SMI * STU * HIVT STDT TBS MST HBT HCT LABT * PEER * TCC * SMON * YAD ADLT SNR * AH * VAPN * COOT FPSY IMR SPS ES
